GADA-xio4ch,KABUPATEN JAYAPURA,PAPUA,-2.57706400,140.50270100,False,0.9,3,7
GADA-l5pnh4,KOTA MEDAN,SUMATERA UTARA,3.54542400,98.66066600,False,0.9,3,7
GADA-55nlgv,KABUPATEN KOLAKA TIMUR,SULAWESI TENGGARA,-3.96289800,121.70814500,False,0.9,3,7
GADA-dv6nnxq1,KOTA PEKANBARU,RIAU,0.53897000,101.44532000,False,0.9,3,7
GADA-9eqx3qyq,KOTA JAMBI,JAMBI,-1.65349000,103.62597000,False,0.9,3,7
GADA-tbdvlq,KABUPATEN LAMPUNG TIMUR,LAMPUNG,-5.13199900,105.43378900,False,0.9,3,7
GADA-j7rgmnm6,KABUPATEN BANDUNG,JAWA BARAT,-6.86697000,107.63154000,False,0.9,3,7
GADA-5q9w3u,KABUPATEN JEMBER,JAWA TIMUR,-8.18720300,113.72475000,False,0.9,3,7
GADA-zxraabvv,KABUPATEN SUMEDANG,JAWA BARAT,-6.81163000,107.95079000,False,0.9,3,7
GADA-ltlo2s,KOTA KENDARI,SULAWESI TENGGARA,-3.96165100,122.50613900,False,0.9,3,7
GADA-mlqvmjwq,KOTA BANDUNG,JAWA BARAT,-6.89235000,107.63474000,False,0.9,3,7
GADA-klgzxglj,KOTA BANJAR BARU,KALIMANTAN SELATAN,-3.45905000,114.75910000,False,0.9,3,6
GADA-8h7s2f,KOTA PONTIANAK,KALIMANTAN BARAT,-0.04441900,109.37200800,False,0.9,3,6
GADA-n0sq9t,KOTA SURAKARTA,JAWA TENGAH,-7.58268300,110.82195000,False,0.9,3,6
GADA-263kdrjm,KABUPATEN SUKABUMI,JAWA BARAT,-6.88867000,106.96592000,False,0.9,3,6
GADA-4iibx9,KOTA MEDAN,SUMATERA UTARA,3.70442600,98.65196700,False,0.9,3,6
GADA-yharvy,KOTA BEKASI,JAWA BARAT,-6.20208600,107.02598600,False,0.9,3,6
GADA-ekhubs,KOTA PONTIANAK,KALIMANTAN BARAT,-0.02990000,109.30325100,False,0.9,3,6
GADA-r1woweeo,KABUPATEN BANGGAI,SULAWESI TENGAH,-0.93223000,122.82901000,False,0.9,3,6
GADA-317048,KOTA BALIKPAPAN,KALIMANTAN TIMUR,-1.22144300,116.96427200,False,0.9,3,6
