buyer_code,city,province_region,regional_seller,lat,lng,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-h33pip,KOTA TANJUNG PINANG,SUMATERA,West,0.903951,104.528669,False,0.9,4146500,6586250
GADA-sjr5l6,KABUPATEN CIANJUR,JAWA BARAT,West,-6.86832,107.093427,False,0.9,6210000,9917409
GADA-k8dn17,KOTA BANDAR LAMPUNG,SUMATERA,West,-5.400584,105.242709,False,0.9,4146500,4762500
GADA-klgb49mr,KABUPATEN SUKOHARJO,JAWA TENGAH,East,-7.71031,110.79703,False,0.9,2071000,2884500
GADA-umsv9r,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.90595,106.892819,False,0.9,6210000,9915000
GADA-pa9ko2,KOTA AMBON,SULAWESI PAPUA,East,-3.710502,128.156221,False,0.9,4058553,4625000
GADA-j7voxea6,KABUPATEN MAGELANG,JAWA TENGAH,East,-7.5643,110.28462,False,0.9,2071000,3724000
GADA-x0pvxt,KABUPATEN BOJONEGORO,JAWA TIMUR,East,-7.17278,111.772528,False,0.9,5128000,7496600
GADA-yyxzrax1,KABUPATEN KUPANG,BALI NUSRA,East,-10.130334,123.705839,False,0.9,3539000,3953200
GADA-ue35s4x1,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.631716,116.515167,False,0.9,3539000,15128500
GADA-1ylqeam4,KABUPATEN SIDOARJO,JAWA TIMUR,East,-7.48466,112.74407,False,0.9,5128000,8440650
GADA-x011cd,KABUPATEN PROBOLINGGO,JAWA TIMUR,East,-7.816236,113.319825,False,0.9,5128000,17298750
GADA-zscmoy,KABUPATEN SUKABUMI,JAWA BARAT,West,-6.861765,106.962429,False,0.9,6210000,9915000
GADA-ez4rc6,KABUPATEN LUMAJANG,JAWA TIMUR,East,-8.12876,113.224766,False,0.9,5128000,5259500
GADA-kljkab96,KABUPATEN PADANG LAWAS UTARA,SUMATERA,West,1.51516,99.62608,False,0.9,4146500,6834000
GADA-dtg4b8,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.336246,106.66686,False,0.9,7895000,9828000
GADA-7ym6gwda,KABUPATEN SEMARANG,JAWA TENGAH,East,-7.1469,110.43561,False,0.9,2071000,2775000
GADA-5eg441,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.595593,116.523731,False,0.9,3539000,4764750
GADA-xsjasc,KABUPATEN DELI SERDANG,SUMATERA,West,3.610924,98.851439,False,0.9,4146500,9840000
GADA-xmllty,KABUPATEN JEPARA,JAWA TENGAH,East,-6.526523,110.717557,False,0.9,2071000,2355000
GADA-ue8sqd,KOTA JAKARTA PUSAT,JABODETABEK 2,West,-6.185393,106.872205,False,0.9,7966500,10811375
GADA-xi7yqt,KABUPATEN LOMBOK BARAT,BALI NUSRA,East,-8.516768,116.100133,False,0.9,3539000,9805788
GADA-vy47l4or,KABUPATEN SLEMAN,JAWA TENGAH,East,-7.77266,110.38554,False,0.9,2071000,4170000
GADA-59s9d6,KOTA BALIKPAPAN,KALIMANTAN,East,-1.267491,116.859006,False,0.9,3393000,5278500
GADA-ezzamm25,KABUPATEN MAGETAN,JAWA TIMUR,East,-7.64548,111.32949,False,0.9,5128000,8655600
GADA-x0ig4e,KOTA BANJAR BARU,KALIMANTAN,East,-3.424138,114.863151,False,0.9,3393000,4223000
GADA-baw6amaa,KOTA PAYAKUMBUH,SUMATERA,West,-0.26284,100.59924,False,0.9,4146500,5343100
GADA-ezzygxa1,KABUPATEN PATI,JAWA TENGAH,East,-6.75776,111.04699,False,0.9,2071000,2724000
GADA-lrja7org,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.66222,116.50076,False,0.9,3539000,4536600
GADA-okp1ndnm,KABUPATEN MAGETAN,JAWA TIMUR,East,-7.6818,111.41858,False,0.9,5128000,5678250
GADA-ezbavj2v,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.6249,116.4564,False,0.9,3539000,3923450
GADA-55kc68,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.728264,116.474903,False,0.9,3539000,10549750
GADA-u5ocuix1,KABUPATEN PEKALONGAN,JAWA TENGAH,East,-6.898618,109.637414,False,0.9,2071000,3790000
GADA-9u2upi,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.610213,116.448267,False,0.9,3539000,4052500
GADA-aax3ex2o,KOTA PADANGSIDIMPUAN,SUMATERA,West,1.397,99.26598,False,0.9,4146500,7273720
GADA-rbLu,KOTA BANDA ACEH,SUMATERA,West,5.558518,95.329339,False,0.9,4146500,4844700
GADA-tx0lcr,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.317229,109.248435,False,0.9,2071000,6363500
GADA-01vj3rmj,KABUPATEN PURBALINGGA,JAWA TENGAH,East,-7.30722,109.36833,False,0.9,2071000,3765280
GADA-nhgrx8,KABUPATEN BOJONEGORO,JAWA TIMUR,East,-7.222445,111.858144,False,0.9,5128000,10683600
GADA-t22o4p,KABUPATEN BOJONEGORO,JAWA TIMUR,East,-7.145059,111.890257,False,0.9,5128000,5607000
GADA-91ltq0,KOTA BALIKPAPAN,KALIMANTAN,East,-1.269374,116.880904,False,0.9,3393000,4224000
GADA-24zk9x,KABUPATEN PURBALINGGA,JAWA TENGAH,East,-7.255522,109.345605,False,0.9,2071000,4481370
GADA-7l5o4o,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.103313,112.202635,False,0.9,5128000,6008500
GADA-lomc63,KABUPATEN LOMBOK TIMUR,BALI NUSRA,East,-8.626955,116.478365,False,0.9,3539000,5209350
GADA-x3fy1g,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.27749,106.666663,False,0.9,7895000,14777500
GADA-xopf1qx1,KOTA PALU,SULAWESI PAPUA,East,-0.895492,119.847449,False,0.9,4058553,14307210
GADA-oxzb0y,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.112504,112.166589,False,0.9,5128000,8080000
GADA-tlq5h6,KABUPATEN BOJONEGORO,JAWA TIMUR,East,-7.186318,111.879216,False,0.9,5128000,28488000
GADA-xxpq2z,KABUPATEN JOMBANG,JAWA TIMUR,East,-7.531933,112.272199,False,0.9,5128000,7094000
GADA-8pfpan,KABUPATEN LAMONGAN,JAWA TIMUR,East,-7.189157,112.174319,False,0.9,5128000,7662000
GADA-9q0y7jx1,KABUPATEN BANDUNG,JAWA BARAT,West,-6.998697,107.553852,False,0.9,6210000,6295844
GADA-uuv5y5,KABUPATEN PURBALINGGA,JAWA TENGAH,East,-7.29225,109.334528,False,0.9,2071000,3594590
GADA-uh93iy,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.33351,106.71111,False,0.9,7895000,14780000
GADA-x0ttfa,KABUPATEN KLATEN,JAWA TENGAH,East,-7.664858,110.748596,False,0.9,2071000,2489200
GADA-x09pen,KABUPATEN PEMALANG,JAWA TENGAH,East,-6.84672,109.45215,False,0.9,2071000,4955000
GADA-x82o8o,KOTA BALIKPAPAN,KALIMANTAN,East,-1.129551,116.902256,False,0.9,3393000,3974587
GADA-ymbgozlj,KABUPATEN LOMBOK BARAT,BALI NUSRA,East,-8.5352,116.0868,False,0.9,3539000,13279030
GADA-too8vk,KABUPATEN BANYUMAS,JAWA TENGAH,East,-7.423962,109.267834,False,0.9,2071000,3828750
GADA-xjbl0z,KOTA BANDUNG,JAWA BARAT,West,-6.949416,107.604291,False,0.9,6210000,7554000
GADA-okvjvc,KOTA DENPASAR,BALI NUSRA,East,-8.645362,115.236801,False,0.9,3539000,3705000
GADA-l5lr6q,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.330571,106.757719,False,0.9,7895000,10577500
GADA-9d8pi0,KOTA BALIKPAPAN,KALIMANTAN,East,-1.237122,116.911276,False,0.9,3393000,6035500
GADA-lyzvrw,KABUPATEN DELI SERDANG,SUMATERA,West,3.563774,98.603864,False,0.9,4146500,4651000
GADA-kwy4bs,KABUPATEN LIMA PULUH KOTA,SUMATERA,West,-0.187705,100.603159,False,0.9,4146500,5029700
GADA-z9gkwo,KOTA SUKABUMI,JAWA BARAT,West,-6.926474,106.931964,False,0.9,6210000,9915000
GADA-w70pco,KOTA JAMBI,SUMATERA,West,-1.625252,103.587585,False,0.9,4146500,4628000
GADA-ftaomw,KOTA PAREPARE,SULAWESI PAPUA,East,-4.005379,119.629814,False,0.9,4058553,6338710
GADA-nih9o2,KOTA TANGERANG SELATAN,JABODETABEK 1,West,-6.274683,106.659678,False,0.9,7895000,9240000
GADA-1f61r6,KABUPATEN LIMA PULUH KOTA,SUMATERA,West,-0.185036,100.65538,False,0.9,4146500,6611500
GADA-9enzyb2y,KABUPATEN SOLOK,SUMATERA,West,-0.85378,100.65029,False,0.9,4146500,5491500
GADA-9eorbdy5,KABUPATEN TUBAN,JAWA TIMUR,East,-7.09577,111.91776,False,0.9,5128000,15303000
GADA-gvre552p,KABUPATEN BANDUNG,JAWA BARAT,West,-7.04226,107.59187,False,0.9,6210000,6325000
GADA-xsar0x,KABUPATEN TEGAL,JAWA TENGAH,East,-6.88417,109.20545,False,0.9,2071000,3168000
GADA-8ceyyl,KOTA MAKASSAR,SULAWESI PAPUA,East,-5.168366,119.416427,False,0.9,4058553,30536535
GADA-dfo4vjx1,KOTA BANJARMASIN,KALIMANTAN,East,-3.344585,114.570944,False,0.9,3393000,5097000
GADA-wo8lsg,KABUPATEN BATANG HARI,SUMATERA,West,-1.639174,103.508991,False,0.9,4146500,4923000
