buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-kz271n,KABUPATEN SERANG,BANTEN,-6.09335500,105.99196600,False,0.9,10981000,99525000
GADA-kz3irs,KOTA MEDAN,SUMATERA UTARA,3.61692000,98.68314800,False,0.9,86472000,401077000
GADA-kzcboi,KABUPATEN JOMBANG,JAWA TIMUR,-7.51912600,112.31418600,False,0.9,10663000,55775000
GADA-kzsc49,KOTA JAKARTA BARAT,DKI JAKARTA,-6.12676900,106.72108800,False,0.9,99528000,138376000
GADA-l04iul,KOTA MAKASSAR,SULAWESI SELATAN,-5.15036500,119.44339300,False,0.9,10100000,1272623000
GADA-l06sqo,KABUPATEN MAGETAN,JAWA TIMUR,-7.65473000,111.31248000,False,0.9,10663000,14060000
GADA-l07ehm,KOTA JAKARTA PUSAT,DKI JAKARTA,-6.16575200,106.87061500,False,0.9,99528000,144937500
GADA-l0bh88,KOTA JAKARTA BARAT,DKI JAKARTA,-6.21124700,106.77433600,False,0.9,99528000,1104304000
GADA-l0c4ya,KABUPATEN JOMBANG,JAWA TIMUR,-7.56777500,112.33700600,False,0.9,10663000,65715000
GADA-l0hqv0x1,KOTA MAKASSAR,SULAWESI SELATAN,-5.12816100,119.41348800,False,0.9,10100000,101220000
GADA-l0knr7,KABUPATEN MAGETAN,JAWA TIMUR,-7.64878600,111.37796600,False,0.9,10663000,12470000
GADA-l0nnwy,KABUPATEN MAGETAN,JAWA TIMUR,-7.66279800,111.35175400,False,0.9,10663000,14360000
GADA-l0nq6g,KOTA MAKASSAR,SULAWESI SELATAN,-5.17061600,119.41077800,False,0.9,10100000,10208000
GADA-l0p74w,KOTA BANDAR LAMPUNG,LAMPUNG,-5.40993000,105.26687000,False,0.9,14945248,4412909000
GADA-l0s105,KABUPATEN KARAWANG,JAWA BARAT,-6.15821500,107.29961800,False,0.9,117064518,247500000
GADA-l0s224,KABUPATEN PASURUAN,JAWA TIMUR,-7.55112000,112.70607300,False,0.9,10663000,85400000
GADA-l0w2,KABUPATEN BARRU,SULAWESI SELATAN,-4.49248000,119.61133000,False,0.9,10100000,305870000
GADA-l0xyin,KOTA MADIUN,JAWA TIMUR,-7.60846600,111.55735500,False,0.9,10663000,11970000
GADA-l10srq,KOTA MAKASSAR,SULAWESI SELATAN,-5.14485400,119.42892400,False,0.9,10100000,10626000
GADA-l1138s,KABUPATEN BADUNG,BALI,-8.71926400,115.18414800,False,0.9,293375000,330770000
GADA-l12w54,KABUPATEN BANDUNG,JAWA BARAT,-6.96059000,107.66427300,False,0.9,117064518,638307440
GADA-l1fw21x1,KABUPATEN BANDUNG,JAWA BARAT,-7.02059700,107.59582200,False,0.9,117064518,125121000
GADA-l1jf12,KABUPATEN JOMBANG,JAWA TIMUR,-7.53878100,112.27837400,False,0.9,10663000,55580000
GADA-l1ju3c,KABUPATEN MAGETAN,JAWA TIMUR,-7.66538900,111.31703500,False,0.9,10663000,11475000
GADA-l1kzhv,KABUPATEN BANDUNG,JAWA BARAT,-6.96098500,107.66687900,False,0.9,117064518,683996200
GADA-l1n64v,KABUPATEN SUMEDANG,JAWA BARAT,-6.84237700,107.92665900,False,0.9,117064518,905480000
GADA-l1x78ox1,KABUPATEN BANJAR,KALIMANTAN SELATAN,-3.40545500,114.66923400,False,0.9,668250000,1161312560
GADA-l1yqzz,KABUPATEN MAGETAN,JAWA TIMUR,-7.68308200,111.33845600,False,0.9,10663000,40400000
GADA-l202sfx1,KOTA PEKANBARU,RIAU,0.41931900,101.41131200,False,0.9,121765000,392798800
GADA-l20xst,KOTA TANGERANG,BANTEN,-6.18483200,106.59922000,False,0.9,10981000,15980000
GADA-l21ihx,KABUPATEN BANTUL,DI YOGYAKARTA,-7.82400300,110.44842800,False,0.9,351500,1850000
GADA-l2671e,KOTA PEKANBARU,RIAU,0.44302800,101.45769900,False,0.9,121765000,352575500
GADA-l26azr,KOTA PEKANBARU,RIAU,0.44302800,101.45769900,False,0.9,121765000,525661000
GADA-l26b56,KOTA BENGKULU,BENGKULU,-3.79219500,102.26853200,False,0.9,83232000,1233698000
GADA-l27uy0,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.29958600,102.85723600,False,0.9,21080000,40244500
GADA-l28de3,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12811000,104.16385000,False,0.9,21080000,1012582144
GADA-l28g1c,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12604000,104.16184400,False,0.9,21080000,1499996800
GADA-l29obp,KOTA METRO,LAMPUNG,-5.11783900,105.30726500,False,0.9,14945248,53760000
GADA-l2a9ci,KOTA TANJUNG PINANG,KEPULAUAN RIAU,0.90524300,104.48629300,False,0.9,140019500,158150000
GADA-l2c0t3,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.28355600,102.86746000,False,0.9,21080000,309400000
GADA-l2c5b9,KOTA TANJUNG PINANG,KEPULAUAN RIAU,0.94202400,104.51759900,False,0.9,140019500,159285000
