buyer_code,city,province,buyer_lat,buyer_long,is_using_gada,percentile,gmv_percentile,gmv_per_buyer
GADA-cqsse3,KABUPATEN GIANYAR,BALI,-8.54887700,115.30495500,False,0.9,9956000,12076000
GADA-55chgg,KABUPATEN BANGLI,BALI,-8.45093800,115.35138200,False,0.9,9956000,12074940
GADA-5exsyn,KABUPATEN KLUNGKUNG,BALI,-8.52150200,115.40200400,False,0.9,9956000,12074940
GADA-ho991g,KABUPATEN MAGETAN,JAWA TIMUR,-7.62220000,111.32764800,False,0.9,4716500,12072000
GADA-zfe6du,KOTA PEKANBARU,RIAU,0.47681000,101.47102200,False,0.9,9720000,12071200
GADA-ykh13ox1,KOTA PROBOLINGGO,JAWA TIMUR,-7.76161800,113.21204600,False,0.9,4716500,12060000
GADA-ng5bbi,KOTA BATAM,KEPULAUAN RIAU,1.10766600,104.09284600,False,0.9,11550000,12058000
GADA-1yjbqnxo,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.21376000,105.32266000,False,0.9,6878000,12055000
GADA-wphg8j,KABUPATEN MAGETAN,JAWA TIMUR,-7.68071100,111.22488500,False,0.9,4716500,12052000
GADA-klelboq2,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.13531000,104.15513000,False,0.9,9685200,12050000
GADA-5py705,KABUPATEN BANGLI,BALI,-8.45474400,115.35333000,False,0.9,9956000,12048000
GADA-nrbp8bx1,KOTA PEKANBARU,RIAU,0.52277800,101.44031000,False,0.9,9720000,12041000
GADA-ax1jk5wn,KOTA JAMBI,JAMBI,-1.62980000,103.62712000,False,0.9,11115000,12040100
GADA-ez1my221,KABUPATEN GIANYAR,BALI,-8.45104000,115.31826000,False,0.9,9956000,12034000
GADA-cfyks1,KOTA PADANG,SUMATERA BARAT,-0.95412200,100.35663100,False,0.9,3600100,12033000
GADA-31yvsh,KOTA MEDAN,SUMATERA UTARA,3.69318400,98.65548300,False,0.9,9893000,12029000
GADA-lyyyya,KOTA SERANG,BANTEN,-6.10809100,106.16422100,False,0.9,9995000,12028000
GADA-rmse9i,KOTA MALANG,JAWA TIMUR,-7.98555300,112.63314800,False,0.9,4716500,12025000
GADA-xd7et1,KOTA MEDAN,SUMATERA UTARA,3.69453900,98.65904300,False,0.9,9893000,12024000
GADA-584ulg,KOTA JAMBI,JAMBI,-1.60923700,103.61911800,False,0.9,11115000,12019000
GADA-1y3dynax,KABUPATEN INDRAGIRI HILIR,RIAU,-0.32795000,103.14124000,False,0.9,9720000,12018800
GADA-lw4pvl,KOTA MEDAN,SUMATERA UTARA,3.53717000,98.62632400,False,0.9,9893000,12017000
GADA-lsuv6s,KOTA PADANGSIDIMPUAN,SUMATERA UTARA,1.38430200,99.27431900,False,0.9,9893000,12005000
GADA-diclel,KABUPATEN MAGETAN,JAWA TIMUR,-7.67795300,111.31973900,False,0.9,4716500,12000000
GADA-lkrgbo,KOTA PALEMBANG,SUMATERA SELATAN,-2.98939000,104.76238100,False,0.9,9685200,12000000
GADA-9a40z5,KOTA PALEMBANG,SUMATERA SELATAN,-2.93738700,104.68989400,False,0.9,9685200,12000000
GADA-ypogp9,KOTA PALEMBANG,SUMATERA SELATAN,-2.97283700,104.78364400,False,0.9,9685200,12000000
GADA-91yj2w,KOTA PALEMBANG,SUMATERA SELATAN,-2.95320100,104.73090300,False,0.9,9685200,12000000
GADA-yq65lzgo,KOTA SERANG,BANTEN,-6.13589000,106.18941000,False,0.9,9995000,12000000
GADA-v8b76a,KABUPATEN MAGETAN,JAWA TIMUR,-7.63917400,111.35772100,False,0.9,4716500,12000000
GADA-tq4lmd,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12416900,104.19505400,False,0.9,9685200,12000000
GADA-yqOR,KOTA BATAM,KEPULAUAN RIAU,1.15862400,104.01831200,False,0.9,11550000,12000000
GADA-yhe4ey,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11493500,104.20059400,False,0.9,9685200,12000000
GADA-hdh8xn,KOTA PALEMBANG,SUMATERA SELATAN,-2.98298000,104.76493000,False,0.9,9685200,12000000
GADA-toq46f,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11575800,104.20349600,False,0.9,9685200,12000000
GADA-29o6bz,KABUPATEN BANGKALAN,JAWA TIMUR,-7.09228500,112.70552900,False,0.9,4716500,12000000
GADA-pxp43jmn,KABUPATEN KEDIRI,JAWA TIMUR,-7.91951700,112.11258100,False,0.9,4716500,12000000
GADA-tbljxh,KABUPATEN LAMPUNG SELATAN,LAMPUNG,-5.21367800,105.32233300,False,0.9,6878000,12000000
GADA-4dsnw5,KOTA PADANG,SUMATERA BARAT,-0.93360700,100.37031000,False,0.9,3600100,11995000
GADA-zyqmpq,KOTA PADANG,SUMATERA BARAT,-0.87755400,100.36673700,False,0.9,3600100,11990000
GADA-tqa0ld,KABUPATEN LAMPUNG TENGAH,LAMPUNG,-4.92547000,105.21239600,False,0.9,6878000,11985850
GADA-yheb5m,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11995200,104.20007700,False,0.9,9685200,11980003
GADA-xpppmo,KOTA BANDAR LAMPUNG,LAMPUNG,-5.43044100,105.25420400,False,0.9,6878000,11980000
GADA-icmaep,KABUPATEN SERANG,BANTEN,-6.29640300,106.26431800,False,0.9,9995000,11980000
GADA-klwv9rel,KABUPATEN BANGLI,BALI,-8.45332000,115.35003000,False,0.9,9956000,11976960
GADA-2cx5wp,KOTA PROBOLINGGO,JAWA TIMUR,-7.75471600,113.21916500,False,0.9,4716500,11975000
GADA-o3lg6t,KABUPATEN PROBOLINGGO,JAWA TIMUR,-7.71952900,113.48951600,False,0.9,4716500,11975000
GADA-r0tdgx,KOTA PROBOLINGGO,JAWA TIMUR,-7.75336100,113.21333900,False,0.9,4716500,11975000
GADA-hs2nvi,KOTA PROBOLINGGO,JAWA TIMUR,-7.76224500,113.17506700,False,0.9,4716500,11975000
GADA-miz5mz,KOTA PROBOLINGGO,JAWA TIMUR,-7.75639000,113.21959400,False,0.9,4716500,11975000
GADA-n030n0x1,KABUPATEN PROBOLINGGO,JAWA TIMUR,-7.76227900,113.40074500,False,0.9,4716500,11975000
GADA-e4d6fjx1,KOTA JAMBI,JAMBI,-1.63538700,103.66932000,False,0.9,11115000,11970000
GADA-84t7rv,KABUPATEN MAGETAN,JAWA TIMUR,-7.67972700,111.33997500,False,0.9,4716500,11970000
GADA-dm39n9,KOTA JAMBI,JAMBI,-1.59333400,103.61750600,False,0.9,11115000,11970000
GADA-hxm7xw,KOTA JAMBI,JAMBI,-1.61954400,103.61559800,False,0.9,11115000,11970000
GADA-l0xyin,KOTA MADIUN,JAWA TIMUR,-7.60846600,111.55735500,False,0.9,4716500,11970000
GADA-bvnd0d,KABUPATEN LEBAK,BANTEN,-6.35671000,106.24643400,False,0.9,9995000,11962000
GADA-bdnP,KABUPATEN MAGETAN,JAWA TIMUR,-7.54601400,111.45553500,False,0.9,4716500,11960000
GADA-nktvfa,KABUPATEN KOLAKA,SULAWESI TENGGARA,-4.05606200,121.59510300,False,0.9,1948000,11955720
GADA-ok8bdk,KABUPATEN MAGETAN,JAWA TIMUR,-7.60628200,111.45300300,False,0.9,4716500,11955000
GADA-li91kq,KABUPATEN MAGETAN,JAWA TIMUR,-7.64942400,111.34660100,False,0.9,4716500,11955000
GADA-58rxus,KABUPATEN LAMPUNG UTARA,LAMPUNG,-4.87888400,104.88126000,False,0.9,6878000,11943200
GADA-5xxmbz,KOTA MEDAN,SUMATERA UTARA,3.65666500,98.65730800,False,0.9,9893000,11939570
GADA-pibr4f,KOTA MEDAN,SUMATERA UTARA,3.69271300,98.65250400,False,0.9,9893000,11928000
GADA-r1wkoo5b,KABUPATEN TANGERANG,BANTEN,-6.20042000,106.53601000,False,0.9,9995000,11926500
GADA-cd3rt2,KOTA MEDAN,SUMATERA UTARA,3.59727000,98.64474100,False,0.9,9893000,11926000
GADA-v0ncj4,KABUPATEN MALANG,JAWA TIMUR,-7.91564700,112.62094300,False,0.9,4716500,11925000
GADA-ls2ww2,KOTA MATARAM,NUSA TENGGARA BARAT,-8.60149300,116.12886300,False,0.9,2929450,11925000
GADA-b0rw3z,KABUPATEN LEBAK,BANTEN,-6.36517400,106.24287700,False,0.9,9995000,11922000
GADA-h3t4tk,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59129100,116.09761400,False,0.9,2929450,11920000
GADA-zxvq1qll,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.10871000,104.17175000,False,0.9,9685200,11919220
GADA-klgnqzdr,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11509000,104.16949000,False,0.9,9685200,11919220
GADA-xc0k0v,KABUPATEN KOLAKA,SULAWESI TENGGARA,-3.99390800,121.58293600,False,0.9,1948000,11907500
GADA-8u9l1o,KOTA MEDAN,SUMATERA UTARA,3.60483000,98.64617900,False,0.9,9893000,11904445
GADA-7f20ko,KOTA MEDAN,SUMATERA UTARA,3.70618200,98.64889900,False,0.9,9893000,11900000
GADA-my195o,KOTA MATARAM,NUSA TENGGARA BARAT,-8.60752400,116.11157400,False,0.9,2929450,11900000
GADA-kXNax1,KOTA MATARAM,NUSA TENGGARA BARAT,-8.59714600,116.15758700,False,0.9,2929450,11900000
GADA-qbwr9zwq,KOTA BANDAR LAMPUNG,LAMPUNG,-5.39430000,105.24878000,False,0.9,6878000,11900000
GADA-3wwhs1,KOTA MEDAN,SUMATERA UTARA,3.70002100,98.65951900,False,0.9,9893000,11900000
GADA-tb2ez1,KABUPATEN KEDIRI,JAWA TIMUR,-7.75578600,112.12009300,False,0.9,4716500,11900000
GADA-eac8o5,KOTA MEDAN,SUMATERA UTARA,3.55930300,98.70988200,False,0.9,9893000,11900000
GADA-9iumky,KABUPATEN LOMBOK BARAT,NUSA TENGGARA BARAT,-8.58132200,116.19956900,False,0.9,2929450,11900000
GADA-dm0j1t,KOTA JAMBI,JAMBI,-1.60016300,103.61603000,False,0.9,11115000,11898750
GADA-htasor,KOTA JAMBI,JAMBI,-1.61164100,103.62414700,False,0.9,11115000,11898750
GADA-s7n7y9,KOTA MEDAN,SUMATERA UTARA,3.62967400,98.65982800,False,0.9,9893000,11897230
GADA-uw1arq,KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.30967500,102.86737500,False,0.9,9685200,11895000
GADA-l2j7f3,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11392400,104.16466500,False,0.9,9685200,11894000
GADA-nyaqja,KOTA KUPANG,NUSA TENGGARA TIMUR,-10.16900300,123.64379400,False,0.9,11680000,11892600
GADA-x4sstx,KABUPATEN KUPANG,NUSA TENGGARA TIMUR,-10.14749700,123.68872100,False,0.9,11680000,11892600
GADA-ga97n2nj,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12182000,104.16451000,False,0.9,9685200,11890003
GADA-9enqzayq,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11317000,104.16901000,False,0.9,9685200,11888000
GADA-b02034,KABUPATEN LEBAK,BANTEN,-6.35673000,106.24994000,False,0.9,9995000,11888000
GADA-bg5kch,KABUPATEN LEBAK,BANTEN,-6.35626400,106.24662800,False,0.9,9995000,11882000
GADA-b8vph7,KABUPATEN LEBAK,BANTEN,-6.36154900,106.25300100,False,0.9,9995000,11882000
GADA-bvufx5,KABUPATEN LEBAK,BANTEN,-6.35496900,106.25125100,False,0.9,9995000,11882000
GADA-bpi9g9,KABUPATEN LEBAK,BANTEN,-6.34166400,106.28633000,False,0.9,9995000,11882000
GADA-bpre2d,KABUPATEN LEBAK,BANTEN,-6.34458300,106.28867800,False,0.9,9995000,11882000
GADA-mp9i9f,KABUPATEN LEBAK,BANTEN,-6.34104200,106.25893500,False,0.9,9995000,11882000
GADA-l6p1h1,KOTA PALEMBANG,SUMATERA SELATAN,-2.92829900,104.74406700,False,0.9,9685200,11880000
GADA-n6243m,KABUPATEN PESAWARAN,LAMPUNG,-5.36699300,105.16374000,False,0.9,6878000,11880000
GADA-vxaw8y,KABUPATEN MAGETAN,JAWA TIMUR,-7.62220000,111.32764800,False,0.9,4716500,11880000
GADA-5ks9bx,KOTA BATAM,KEPULAUAN RIAU,1.10740800,104.09531600,False,0.9,11550000,11880000
GADA-ymozjqqk,KOTA PALEMBANG,SUMATERA SELATAN,-2.94595000,104.78279000,False,0.9,9685200,11880000
GADA-tqnry9,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.11557700,104.20370000,False,0.9,9685200,11880000
GADA-5ve6lt,KOTA BATAM,KEPULAUAN RIAU,1.05655500,103.97556000,False,0.9,11550000,11875000
GADA-y7r7wl,KOTA PADANGSIDIMPUAN,SUMATERA UTARA,1.39366300,99.27086900,False,0.9,9893000,11875000
GADA-nphhqv,KABUPATEN MAGETAN,JAWA TIMUR,-7.65538900,111.32764800,False,0.9,4716500,11870000
GADA-jvmzwy,KABUPATEN MAGETAN,JAWA TIMUR,-7.70394300,111.26686300,False,0.9,4716500,11870000
GADA-mzzdlqzl,KABUPATEN INDRAGIRI HILIR,RIAU,-0.55285000,102.95652000,False,0.9,9720000,11867400
GADA-i5m7q7,KOTA METRO,LAMPUNG,-5.07270400,105.30504600,False,0.9,6878000,11867000
GADA-yh3uiy,KABUPATEN KEDIRI,JAWA TIMUR,-7.76307900,112.12746200,False,0.9,4716500,11865000
GADA-ll25dk,KABUPATEN KEDIRI,JAWA TIMUR,-7.81795700,112.07109600,False,0.9,4716500,11865000
GADA-xejd79o4,KOTA SERANG,BANTEN,-6.09481000,106.14942000,False,0.9,9995000,11860000
GADA-x7is3x,KOTA MEDAN,SUMATERA UTARA,3.69486700,98.66072200,False,0.9,9893000,11857000
GADA-xj55oc,KABUPATEN KLUNGKUNG,BALI,-8.56188800,115.45058400,False,0.9,9956000,11854000
GADA-nynjbenk,KABUPATEN TABANAN,BALI,-8.53871000,115.10774000,False,0.9,9956000,11850000
GADA-xe26rj4o,KABUPATEN TABANAN,BALI,-8.54234000,115.14383900,False,0.9,9956000,11850000
GADA-x11506,KABUPATEN OGAN KOMERING ULU TIMUR,SUMATERA SELATAN,-4.11013600,104.35322200,False,0.9,9685200,11850000
GADA-lczckk,KABUPATEN BADUNG,BALI,-8.72921600,115.17274500,False,0.9,9956000,11850000
GADA-rnyxnazy,KABUPATEN TABANAN,BALI,-8.54625000,115.11490000,False,0.9,9956000,11850000
GADA-xagop2,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12395600,104.21132200,False,0.9,9685200,11850000
GADA-hzhczc,KOTA KEDIRI,JAWA TIMUR,-7.84866100,112.02525100,False,0.9,4716500,11850000
GADA-xag2wz,KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.12203900,104.17615700,False,0.9,9685200,11850000
GADA-5eeg8w,KABUPATEN KLUNGKUNG,BALI,-8.52755600,115.40244700,False,0.9,9956000,11845000
GADA-yh2ogc,KABUPATEN ROKAN HULU,RIAU,0.82601200,100.23153900,False,0.9,9720000,11840000
GADA-nrbevddw,KABUPATEN INDRAGIRI HILIR,RIAU,-0.55843000,102.97810000,False,0.9,9720000,11839400
GADA-ktwvti,KABUPATEN MAGETAN,JAWA TIMUR,-7.62220000,111.32764800,False,0.9,4716500,11838000
